score,nscore,pscore,obscore,synset,text
1,0,0.290909091,0.709090909, hour_angle.n.02 yay.n.01 special.s.04 duck.n.04 side.n.04,Matt_Striker_ Ha! Yay! I'm special! - This is my duck face. 
1,0.294736842,0.147368421,0.557894737, never.r.02 entire.s.03 life_sentence.n.01 hear.v.04 sea_bass.n.01 sink.v.01 evening.n.03,Never in my entire life have I heard more bass drops evening #readingsummerball2014 
1,0,0.569343066,0.430656934, love.v.01 textbook.n.01 person.n.01 reply.n.02 front-runner.n.01 tweet.v.01 lawsuit.n.01 know.v.04,Dont you just love when you text someone and they don't reply but they favorite your tweets. ... cause I know I do! 
1,0.504807692,0.302884615,0.192307692, falcon.v.01 lover.n.03 remark.n.01 video_recording.n.01 tied.s.05 broken.s.08,So the Falcon Lover comments on pewdiepie 's videos... What even? #confused #whateven #beautifulstory  #lovingit
1,0,0,1, know.v.04 superintendent.n.02 playfulness.n.02 federal.n.01 tax.v.04 accounting.n.04 person.n.01,Do you know what is super fun? Federal tax accounting for individuals.  #onemoreweek
1,0.726744186,0,0.273255814, today.r.02 twenty-seven.s.01 degree.n.07 seventy-nine.s.01 percentage.n.01 humidity.n.01 houston.n.02 twenty-seven.s.01 degree.n.07 eighty-one.s.01 percentage.n.01 humidity.n.01 inhumane.a.01,Manaus today: 27 degrees and 79 percent humidity at 18:00. Houston 27 degrees and 81 percent humidity at 23:30. #Inhumane  #ENGvsITA
1,0.244444444,0.366666667,0.388888889, syndicate.n.01 boastfully.r.01 pile.n.03 joy.n.02 tonight.r.01,My family is just a big bundle of joy tonight. 
1,0.319148936,0.319148936,0.361702128, well.r.01 one.s.06 mama.n.02 suppose.v.01 miss.v.06 sympathy.n.03 typical.s.03 think.v.13 very.r.01 know.v.04,meowzermix good one!! Mama said my lack of sympathy was mean-spirited and not typical of me. I don't think she really knows me!!! 
1,0.285714286,0,0.714285714, pull_the_leg_of.v.01 supporter.n.01,Just kidding. I have other friends.  haha. :)
1,0.5,0,0.5, thanks.n.02 golf.n.01,Espn thanks for all the golf during #worldcuptonight #FifaWorldCup #1N1T #somuchgolf 
1,0,0.382352941,0.617647059, uranium.n.01 very_well.r.02 adenosine_monophosphate.n.01,IYAOYASjose goooood GAWD u fine....&amp; so iz VelVelHoller 
1,0,0.56,0.44, utilitarian.s.01 wish.n.01 watch.n.04 old.s.07 movie.n.01 utilitarian.s.01,So netflix is useful if you want to watch older movies. #useful 
1,0,0,1, stimulate.v.01,younngnatnat I'm so excited... 
1,0,0,1, gladiolus.n.01 visit.v.01 neglect.v.01 presence.n.06,Glad to see how missed my presence is!!! 
1,0.255319149,0.319148936,0.425531915, yea.r.01 receive.v.02 very.r.01 cover_girl.n.01 personality.n.02 girlfriend.n.02 bleach.n.03,"Yeah, you got a real lovely personality, girlfriend. #Toonami #BLEACH "
1,0,0.909090909,0.090909091, cute.s.02,Lol! That's cute! 
1,0,0,1, great.n.01 night.n.06,What a great night! 
1,0.444444444,0.111111111,0.444444444, texas_ranger.n.01 star.n.04 ohio.n.01 right.s.08 mariner.n.01 umbrage.n.01 great.n.01,3-1 rangers lead oh right mariners offense are great! at Safeco 
1,0,0.477272727,0.522727273, about.r.07 buy.v.01 joke.v.02 uranium.n.01 believe.v.04 headroom.n.01,LanceRedLion #ooc I almost bought these for Geekmaster as a joke. Can u believe these are on clearance? 
1,0.117647059,0.588235294,0.294117647, sleep_together.v.01 liveliness.n.02,I love my life 
1,0.482758621,0.24137931,0.275862069, idol.n.01 love.v.01 time.v.05 money.n.03 neutralize.v.04,God I just love when my time and money it's wasted  #fuckyou
1,0.352941176,0.352941176,0.294117647, love.v.01 tornado.n.01,I just love tornadoes!! 
1,0.265625,0.265625,0.46875, ohio.n.01 retain.v.02 palestinian.n.01 military.n.01 occupation.n.05 impound.v.01 state.n.04 very.r.01,".mayerstein18 jacobkornbluh oh and keeping Palestinians under military occupation, confiscating more land is real just. "
1,0.275862069,0.643678161,0.08045977, mean.v.07 grateful.s.02 right.s.08,"teeterpyg redfivetwo I mean we should just be grateful for what we have, right? "
1,0.25,0.25,0.5, nothing.n.01 tick.v.02 cooling.n.01 hotel.n.01 room.n.04,Nothing beats chilling in a hotel room by yourself 
1,0,0.463414634,0.536585366, love.v.01 people.n.03 lie_down.v.01 plan.v.03 become.v.02 plan.v.03,Don't you just love it when people lie and plans don't become more than just plans? 
1,0.12,0.12,0.76, another.s.01 great.n.01 night.n.06 spend.v.01 home_plate.n.01,Another great night spent at home 
1,0,0.5,0.5, well.v.01 next.r.01 year.n.03 march.v.06 ring.v.06 season.n.03 phosphorus.n.01,"Well, next years marching band season should be fun.. Hahaha :p "
1,0,0,1, today.r.02 playfulness.n.02,Today was sooooo fun 
1,0,0.689655172,0.310344828, write.v.08 water_system.n.02 shower.v.03 sexy.a.01,Save water by showering together.. oooo so sexy 
1,0.452830189,0.113207547,0.433962264, brave.n.01 texas_ranger.n.01 plot.n.01 guess.v.02 sodium.n.01 win.v.01,PatDoneyNBC5 Braves Rangers game over i guess cj gonna win it 
1,0.37839797,0.536063791,0.085538238, life_sentence.n.01 important.s.05 zero.n.02 following.n.01 take.v.27 check_mark.n.01 very.r.01 sleep_together.v.01 hate.n.01 ma.n.01,"Update~ cuz my life is just soo important to my 0 followers.  I made an Instagram, check my bio, and I really fucking hate my mom"
1,0.727848101,0,0.272151899, asshole.n.01 tell.v.03 scott.n.05 perform.v.03 tonight.r.01 wilmington.n.01,MOTHERFUCKER!! Why didn't ANYONE tell me Scott Stapp was performing TONIGHT in Wilmington?? #YouAreAllDeadToMe #srsly ?
1,0,0,1, use.v.01 rhetoric.n.04 statement.n.07 bud.n.02,ZaydDogg jonuhflex RPhouthavanh I used it as a rhetoric statement bud ?
1,0.406015038,0.270676692,0.323308271, belly_laugh.n.02 uranium.n.01 way.r.01 thirty-eight.s.01 following.n.01 uranium.n.01,vikesfanIV wow u are all the way up to 38 followers? How do u do it? 
1,0.151785714,0.607142857,0.241071429, thanks.n.02 optimum.s.01 great.n.01 footage.n.02,"Thanks #foxsports2 for not being in HD on #optimum ,great footage of #LeMans24Hrs "
1,0.16,0.6,0.24, artistic.s.02 sideways.r.03 photograph.n.01 sulk.v.01 side.n.04,You're so artistic with your sideways photo and pouting face 
1,0,0,1, comment.v.01 brave.n.01 incredible.a.01 year.n.03 strike.v.04 en.n.01 fuego.n.01 ray.n.06,Just noticed Braves BJUPTON2 is having an incredible year - he's now hitting an En Fuego .210!  #Rays #BADMLBcontract
1,0,0.736842105,0.263157895, doubt.v.02 probably.r.01 yes.n.01 mean.v.07 single.v.01 womanhood.n.02 hoe.v.01 right.s.08,"Am I a THOT? If in doubt, probably yes. I mean, all single women are hoes right? "
1,0.305084746,0.305084746,0.389830508, suppose.v.01 low.a.02 shape.v.02 wit.n.01 suppose.v.01 very.r.01 person.n.01 give.v.43 person.n.03 nobel.n.01 peace.n.05 trophy.n.02,"It's said that  is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!"""
1,0,0,1, california.n.01 forte.a.01,Can't you be any louder?? 
1,0,0.608695652,0.391304348, welcome.n.02 south.r.01 gust.n.01 stool.v.04 playfulness.n.02,Welcome to the south where we blow shit up for fun. #MERICAAAAAAA 
1,0,0,1, well.r.11 sidereal_day.n.01 ever.r.03,best day ever 
1,0.085365854,0.512195122,0.402439024, hospital.n.02 visit.v.07 midnight.n.01 strait.n.01 fantastic.s.02,a hospital visit at midnight sounds wonderful 
1,0.533333333,0,0.466666667, loanblend.n.01 abound.v.02 flare.v.03 traumatize.v.01,A hybrid bursting into flames? Shocking!  
1,0.096385542,0.578313253,0.325301205, unique.s.02 original.n.02 tonight.r.01 rain.v.01 concert.n.01 random.a.01 people.n.03 stripe.n.05 food.n.02 retain.v.02 hail.v.02,"Very unique and original snapchats tonight. Rain, concerts, random people at a bar, and food. Keep them coming. "
1,0,0,1, great.n.01 while.n.01 touch.n.06 track.n.11 brave.n.01,Great piece of pinch running by Uggla...  #Braves #leavetinytimonthebench
1,0,0.22,0.78, turn.n.09 cash.v.01 playfulness.n.02 meet.v.04 sidereal_day.n.01,Bout to cash after this fun filled day!  #deadandgone
1,0.392156863,0,0.607843137, review.v.03 world.n.06 cup.v.02 tons.n.01 colombia.n.01 tick.v.02 greece.n.02 shocker.n.02,"Reviewing the world cup scores... Colombia beat Greece?! Whoa, that's a shocker.  #FifaWorldCup"
1,0.136363636,0.545454545,0.318181818, yea.r.01 huge.s.01 soccer.n.01 fan.v.01 obviously.r.01,"lupevilla16 Yeah, cuz I'm a huge soccer fan.  Obviously.  #fsoccer"
1,0,0.615384615,0.384615385, ohio.n.01 wholly.r.01 visit.v.01,"Oh, totally didn't see that coming.. "
1,0.122866894,0.675767918,0.201365188, nothing.n.01 well.r.11 parent.n.01 sound.v.02 township.n.01 one.s.06 wish.n.01 haunt.n.01 bore.v.02,Nothing better than your parents going out of town and no one wants to hangout!  #bored
1,0,0,1, great.n.01 visit.v.03 tonight.r.01,Great call tonight AtlantaJay1 ......
1,0.641025641,0.128205128,0.230769231, thanks.n.02 lot.n.02 anonymous.s.02,Thanks a lot.  #anonymous #stalkthis #waytosayittomyface
1,0.132575758,0.715909091,0.151515152, people.n.03 buffoonery.n.01 visit.v.03 amazing.s.02,People prank calling you is so awesome 
1,0.416666667,0.416666667,0.166666667, love.v.01 spend.v.01 saturday.n.01 night.n.06 nothing.n.01 hell.n.02 yea.r.01,I love spending Saturday nights doing nothing!!! Hell yeah! #SoMuchFun 
1,0.176470588,0.176470588,0.647058824, plot.n.01 much.r.04 playfulness.n.02,This game is sooooo much fun 
1,0.718954248,0,0.281045752, tweet.v.01 refer.v.07 ohio.n.01 stool.v.04 regretful.a.01 forgive.v.02,"harleyquinn103 OMG does this tweet refer to me? Oh no! It does! Crap, sorry. Forgive me? "
1,0.235294118,0,0.764705882, receive.v.02 car.n.02 accident.n.02 today.r.02 playfulness.n.02,So I got in a car accident today... that was fun 
1,0,0.608108108,0.391891892, happening.n.01 tripper.n.04 mumbai.n.01 far.s.04,Been the most happening trip to mumbai so far. 
1,0,0.666666667,0.333333333, love.v.01 rouge.n.01 anchor.v.02 wall.v.01,I love Skyping with gabewist97 while he paints an anchor on his wall. 
1,0.214285714,0.428571429,0.357142857, surely.r.01 hail.v.02 inside.r.02 turn.n.09 ninety.s.01 second.n.01 nothing.n.01,MindFuck_ sure coming from 1-0 to 1-1 then 2-1 within bout 90 sec aint nothing 
1,0.461538462,0,0.538461538, unreal.a.02,Tul is unreal......  lol
1,0.864321608,0.060301508,0.075376884, belly_laugh.n.02 cote.n.01 player.n.05 great.n.01 actor.n.02 regretful.a.01 sportsmanship.n.01,Wow Cote D'Ivoire players are great actors  such bad sportsmanship.....
1,0,0,1, playing.n.02 plot.n.01 separate.v.07 phone.n.02 bonding.n.02 syndicate.n.01,Playing a multiplayer game on our separate phones #bonding #family 
1,0.197916667,0.59375,0.208333333, paul.n.02 well.r.11 target.v.01 precaution.n.01 league.v.01 leader.n.01,MyGirlKelz: #TweetsToPissSomeoneOff Just_Collin Chris Paul is the best point guard in the league but not a leader 
1,0,0,1, soccer.n.01 stuff.v.06 hail.v.02 think.v.13 world.n.06 cup.v.02,Woah! Where did all this soccer stuff come from? Lol. You'd think it was the World Cup or smth. ;)  #InCaseUCouldntTell
1,0,0.290909091,0.709090909, gladiolus.n.01 know.v.04 while.n.01 united_states.n.01 stress.n.01,I'm glad everyone knows how to spell AMERICA....    emphasis on the A.
1,0,0.535714286,0.464285714, well.r.01 out.v.03,Good outing Frieri!! 
1,0.407407407,0.407407407,0.185185185, fact.n.04 twenty-nine.s.01 infuriate.v.01 know.v.04 wrong.n.02 know.v.04 right.s.08 casualty.n.04 tweet.v.01,Fact #29 Its infuriates me to know that I am wrong when I know that I am right #casualty Tweet 
1,0.6875,0,0.3125, great.n.01 supporter.n.01 insane.a.01,I have such great friends it's insane.  #whatajoke
1,0,0,1, hail.v.02 union.n.08 party.v.01,Hey everyone come join the fuckn party at walmart 
1,0,0.64171123,0.35828877, well.r.11 part.n.11 sound.v.02 college.n.03 hearing.n.05 public_opinion.n.01 major.n.04 career.v.01 quest_for.v.01,The best part of going to college is hearing everyone's opinions of what you should major in and what career to pursue. 
1,0,0,1, like.n.02 ever.r.03 sound.v.02 graduate.s.01 senior_high_school.n.01 school.v.03,It's okay.. Its not like I'm ever going to graduate in high school again. 
1,1.6,1.6,-2.2, sarcasm.n.01 very.r.01 hail.v.02 write.v.10 word.n.07 use.v.01,BayareaSoxfan sarcasm is not really something that comes through with the written word unless you use 
1,0.082706767,0.744360902,0.172932331, thanks.n.02 love.v.01 give.v.43 ninth.s.01 inning.n.01 well.r.11 ring.n.02,"Thanks Frieri! We love how you give up games/wins in the 9th inning, you're the best. #Halos "
1,0,0.348837209,0.651162791, well.r.01 speculate.v.04 angel.n.03 make.v.49,good job Angels  #pissed
1,0,0,1, unwrap.v.02 news_program.n.01 harpist.n.01 travel.v.03,BREAKING NEWS: Harper tripped over something!  #idothatallthetime
1,0.747081712,0.124513619,0.128404669, ohio.n.01 spirit.n.02 soccer.n.01 player.n.05 substitute.v.02 stage.n.06 spasm.n.01 california.n.01 shimmer.n.01 weak.s.12,"Oh look, a soccer player being subbed out because of leg cramps! Who does that?!? Why can't he play through it? He's weak! "
1,0.169642857,0.508928571,0.321428571, newfangled.s.01 simulcast.n.01 sequence.n.03 turn.v.19 sequence.n.03,"Yep, the newest simulcast episode of #OnePiece has SO not turned into an episode of DBZ. "
1,0.238993711,0.657232704,0.103773585, lend.v.01 next.r.01 time.v.05 receive.v.02 worry.n.02 obvious.a.01,"DodgerFanWeekly Geez...I'll add "" next time so I don't get in trouble for the obvious"
1,0,0.461538462,0.538461538, wow.v.01 tactile_property.n.01 sake.n.01,WOW I feel your interest... 
1,0,0,1, well.v.01 attractive.a.03 syndicate.n.01,EricWinter1 Roselyn_Sanchez well that isn't an attractive family at all ...  :)
1,0,0,1, receive.v.02 hello.n.01 pot.n.06,I dont get it... How is AvrilLavigne Hello Kitty rasist agian? 
1,0,0,1, meow.v.01,Meow!
1,0.393357774,0.487599741,0.119042484, many.a.01 player.n.05 sound.v.02 spasm.n.01 far.s.04 very.r.01 well.r.01 theme.n.03,So many players going down with cramps so far. Yeah..qatar is a real good idea in 2022. 
1,0,0.558139535,0.441860465, two.n.01 revue.n.01 top.v.07 first.s.02 texas_ranger.n.01 mariner.n.01 plot.n.01 love.v.01 replay.v.03 system.n.08,Two reviews in the top of the 1st of the #Rangers - Mariners game.  I love this #mlb replay system. 
1,0.233160622,0.518134715,0.248704663, important.s.05 suffer.v.11 first_gear.n.01 plot.n.01 world.n.06 cup.v.02 bloody.v.01 brilliant.s.05 penetration.n.02,It's important not to lose your first game in the world cup. BLOODY BRILLIANT INSIGHT.  #theyalltalkthesameoldcrap
1,0,0,1, stud.n.02 california.n.01 tied.s.05 stand.v.09,"Frieri is such a stud, I can't even stand it. "
1,0,0,1, visit.v.01 hail.v.02,libertygirlNH Whoa! I did NOT see that coming. 
1,0.10625,0.6375,0.25625, receive.v.02 fight.v.03 tap.v.07 guy.v.02 must.n.01 sleep_together.v.01,You got into a fight and knocked this guy out? You must be a fucking badass 
1,0.163461538,0.490384615,0.346153846, well.r.01 know.v.04 actual.s.05 hand_brake.n.01 available.s.03,It's good to know that if there was an actual emergency they would be available. 
1,0.184210526,0,0.815789474, hill.v.01 truncheon.n.01 party.v.01 hillbilly.n.01,Hill Billy Parties are great..#hillbilly 
1,0,0,1, twelve.s.01 hour.n.03 tug.v.02 ahead.s.01,12 hour drive ahead of me. Funnnnn.. 
1,0,0,1, college.n.03 worldly_concern.n.01 series.n.07 spirit.n.02 playfulness.n.02,College World Series doesn't look fun 
1,0.662983425,0.110497238,0.226519337, great.n.01 lecture.v.01 commiseration.n.01 path.n.04 take.v.39 personal.s.04,Great.  Only talking to me out if pity?  No of course I won't take it personal...  
1,0,0.4,0.6, intelligibly.r.01 understand.v.03,To2aWallahy mmmmm i can clearly understand ya !   #lol
1,0,0,1, let.v.01 textbook.n.01 people.n.03,Let's not all text me at once people...
1,0,0,1, tell.v.07,mcconnelllkelly couldn't tell! 
1,0,0.244680851,0.755319149, stay.v.09 watch.n.04 sound.v.02 gust.n.01 money.n.03 sodium.n.01 think.v.13 one.s.06 hard.s.10,"Hmmm, stay in and watch Netflix or go out and blow money... Gonna have to think about this one hard "
1,0,0.234482759,0.765517241, saturday.n.01 night.n.06 adenosine_monophosphate.n.01 take.v.27 sound.v.02 purchase.n.03 crop.v.05 top.v.07 phrase.n.04 party.v.01 like.n.02 rock_'n'_roll.n.01 star_topology.n.01 motherhood.n.01,"Saturday night, &amp; I made it to 10pm. I should go purchase a crop top with the phrase ""party like a rock star"" on it.  #motherhood"
1,0,0.631578947,0.368421053, summer.v.01 playfulness.n.02 far.s.04,This summer has been fun so far. 
1,0.152046784,0.304093567,0.543859649, ohio.n.01 today.r.02 founder.n.02 sidereal_day.n.01 greet.v.03 dad.n.01 sociable.n.01 medium.n.08 tied.s.05 though.r.01 report.n.03 flair.n.01,"Oh today's Father's day, I should greet my dad on social media even though he doesn't have an account. #genius "
1,0.301886792,0.603773585,0.094339623, amazing.s.02 hate.n.01 sidereal_day.n.01 relax.v.05,PickedbyGrace Its awesome!  I hate having days off and relaxing...  #resellerlife #entrepreneurproblems
1,0,0.611111111,0.388888889, love.v.01 sound.v.02 eat.v.04 dinner.n.02 ten-spot.n.01 o'clock.r.01,I love going out to eat dinner at ten o'clock. 
1,0.428015564,0.350194553,0.221789883, right.s.08 well.v.01 visit.v.01 much.r.04 dysphemistic.a.01 page.v.02 support.v.09 misogynous.s.01 shooting.n.01,Woogsworld right well I can see why this is so much more offensive than a page supporting a misogynistic shooting 
1,0.069790628,0.72781655,0.202392822, streptococcus.n.01 throat.n.04 middle.n.04 summer.v.01 amazing.s.02,Strep throat in the middle of summer. #Awesome 
1,0.299657534,0.599315068,0.101027397, england.n.01 perplex.v.01 italy.n.01 lucky.s.01 win.v.01 way.r.01 well.r.11 guy.v.02 unlike.a.01 tied.s.05,Frankiee44 England is amazing bro. Italy was lucky to win. Henderson is way better then Pirlo. You guys are different level. 
1,0,0.266666667,0.733333333, eat.v.04 lunch.v.02 late.a.05,Eating lunch late...
1,0,0,1, last.v.01 sidereal_day.n.01 sound.v.02 well.v.01,My last day is going so well...
1,0,0,1, any.s.01 suppose.v.01,vicesandviagra whatever you say 
1,0,0.789473684,0.210526316, tactile_property.n.01 quite.r.04 sleep_together.v.01,I feel quite loved.... 
1,0,0,1, night.n.06,What a night #LotsOfFriends 
1,0,0,1, nice.n.01 mathematics.n.01,ShredMitch nice math 
1,0,0.611111111,0.388888889, homer.v.01 well.r.11 stay.v.01 tomorrow.r.01 brave.n.01,"Gattis just homered, better rest him tomorrow. #Braves "
1,0.587628866,0.261168385,0.151202749, tired.a.01 tied.s.05 terrific.s.03 lee.n.08 california.n.01 retain.v.02 awake.a.01,So tired. Even the terrific punditry of Lee Dixon can't keep me awake #asianeyes #leedixon 
1,0.270833333,0.65,0.079166667, love.v.02 hearing.n.05 predicament.n.01 syndicate.n.01,I do so enjoy hearing about the plight of the Bacardi family. 
1,0.173076923,0.605769231,0.221153846, love.v.01 neglect.v.04 yes.n.01 tactile_property.n.01,i love being ignored yes the feels  #okaythen
1,0.449438202,0.224719101,0.325842697, hate.n.01 people.n.03 misspell.v.01 easy.r.03 word.n.07 think.v.13 two.n.01 annoy.v.01,I hate it when people misspell easy words. I think that their doing it just two annoy me. 
1,0.11627907,0.581395349,0.302325581, surely.r.01 help_oneself.v.01 player.n.05 vastly.r.01,rmiriam I'm sure it helps the players immensely. 
1,0.352941176,0.352941176,0.294117647, fantastic.s.05 time.v.05,Having a fantastic time 
1,0.524495677,0.299711816,0.175792507, nothing.n.01 web_log.n.01 one.s.06 way.r.01 wedge.v.02 cynical.s.01 male_chauvinist.n.01 conclude.v.04 world.n.06,"If nothing else, a blog would be one more way I could force my cynical, sexist, closed mindedness upon the world #BackedByResearch "
1,0.335877863,0.458015267,0.20610687, traumatize.v.01 top.v.07 crafty.s.01 exclude.v.01 honey.n.01 bourbon.n.04 barrel.n.04 pale_yellow.n.01,"matthew_achey meh, shock top isn't very crafty...except their honey bourbon barrel wheat "
1,0.404929577,0.404929577,0.190140845, love.v.01 girlfriend.n.02 rule_out.v.03 hot.s.18 guy.v.02 satellite.n.02 regretful.a.01 son.n.01,"I love girls who reject you for not being the hottest guy on the planet, and for not being a bad boy "
1,0.625,0,0.375, neither.s.01,michaelebeid neither did I. 
1,0.625,0,0.375, surprise.n.02 surprise.n.02,Need_UJAT surprise surprise  #eyeroll
1,0,0,1, holy_place.n.01 smoke.n.02 playfulness.n.02,Holy smokes that was fun!  mikaylaRentsch2
1,0.111940299,0.447761194,0.440298507, sodium.n.01 knock.n.03 master_of_arts.n.01 public_address_system.n.01 person.n.01 turning.n.04 heater.n.01 please.v.03,Wala na bang mas iinit pa? Can somebody turn on the heater please? 
1,0.5,0.25,0.25, gladiolus.n.01 know.v.04 care.n.04,So glad to know you care... #not 
1,0,0,1, sound.v.02 miss.n.03 freshman.s.01 sit_down.v.01 lunch.v.02,I'm going to miss the freshman who wouldn't sit down at lunch. 
1,0,0,1, professionalism.n.01 flight.v.02,"Hey, SpiritAirlines. Livin the professionalism on your flight NK240 out of ft. lauderdale.  #TheWorst"
1,0.196721311,0.491803279,0.31147541, detriment.n.01 binding.n.05 finished.s.04 examination.n.02 tomorrow.r.01 life_sentence.n.01 receive.v.02 well.r.11,"hurt my back, OITNB finished, exam tomorrow, life couldn't get any better.... "
1,0,0,1, thought.n.03 pitched.s.02 omaha.n.02,ElsonPhil I thought he only pitched in Omaha!  #GoodThingMikePatrickIsNotCallingTheGame
1,0,0.769230769,0.230769231, love.v.01 fever.n.01,"I just love having fevers, they are my fave!!!!  #ihateyou #whynow #ugh"
1,0,0.918367347,0.081632653, seriously.r.01 love.v.01 tempt.v.03 topographic_point.n.01 tempt.v.03,I seriously love being invited places. Everyone don't invite me all at once!!! 
1,0,0.732984293,0.267015707, girlfriend.n.02 gossiping.n.01 forte.r.01 behind.s.01 watch.n.04 theater.n.01 wag.n.01 frame.v.04 precisely.r.02 want.v.03 tonight.r.01 damn.s.01 lucky.s.01 valet.n.01,Girls gossiping loudly behind me while I watch house of cards on the couch is exactly what I wanted tonight. Damn I'm a lucky man. 
1,0.316185696,0.526976161,0.156838143, newfangled.s.01 york.n.01 absolutely.r.02 terrific.s.03 startle.n.01,New York is off to an absolutely terrific start  #whatelsecouldgowrong?
1,0,0,1, playing.n.02,Is yaya toure playing ? 
1,0,0,1, volt.n.01 jap.n.01,#IVO vs #JAP
1,0.085365854,0.853658537,0.06097561, deserve.v.01 obviously.r.01,phil_hellmuth You deserve it!  #Obviously
1,0,0,1, migraine.n.01 top.v.07,A migraine to top it off! 
1,0.5625,0.375,0.0625, respectful.s.02,jawedup How respectful of you!   jrsalzman SalenaZitoTrib BarackObama
1,0,0,1, neglect.v.01 queen.v.02 mean.v.07,I'm missing Gloriana so Queen can be mean to me!
1,0,0.545454545,0.454545455, responsibility.n.03,#responsibility
1,0.526315789,0.210526316,0.263157895, japanese.n.01 player.n.05 name.v.03 score.v.06 never.r.02 guess.v.02,A Japanese player named Honda scored.... I never would've guessed he was Japanese.. 
1,0.05017452,0.792757417,0.157068063, cover_girl.n.01 visit.v.01 switch.v.04 controversy.n.01 take.v.27 successful.a.01 newfangled.s.01 information_science.n.01 announced.s.01 newfangled.s.01 one.n.02,Lovely to see some shifting their arguments to whether or not Nintendo can make successful new IP now that they announced new ones 
1,0,0.540540541,0.459459459, think.v.13 marry.v.02 brother-in-law.n.01 wholly.r.01 rational_number.n.01 way.r.01 hand.n.06 end.n.06 husband.n.01,TRH1292 I think marrying your brother-in-law is a completely rational way to deal with the death of your husband. 
1,0,0,1, visit.v.01 tweet.v.01 systeme_international_d'unites.n.01 possibly.r.01 possibly.r.01 way.r.01 write.v.10,si_clegg CarlosMarsden Matt_Chambers_  I don't see that in your tweets si maybe it's me or maybe it's the way you write them
1,0.41015625,0.41015625,0.1796875, yes.n.01 very.r.01 expect.v.05 building.n.04 stand.v.09 night.n.06 paul.n.02,pauloaafc CarlosMarsden Matt_Chambers_ yes because I'm really expecting you to be building the stand at 2am! Night Paul! 
1,0.157303371,0.629213483,0.213483146, help_oneself.v.01 constantly.r.02 love.v.01,Bidenshairplugs they will help they always do.  THEY DON'T LOVE THEM!
1,0.305084746,0.305084746,0.389830508, suppose.v.01 low.a.02 shape.v.02 wit.n.01 suppose.v.01 very.r.01 person.n.01 give.v.43 person.n.03 nobel.n.01 peace.n.05 trophy.n.02,"It's said that  is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!"""
1,0,0.807692308,0.192307692, mooch.v.01 neglect.v.01 concert.n.01,I'm so bummed that I'm missing Ricky Scaggs in concert!! 
1,0,0.533333333,0.466666667, love.v.01 war_cry.n.01 baby.n.07 busbar.n.01,I just love it when there are crying babies on the bus!!  #commutingproblems
1,0,0,1, turn.n.09 suffer.v.02 tonight.r.01,Bout to get turnt tonight 
1,0.144144144,0.504504505,0.351351351, nothing.n.01 well.r.11 fourteen.s.01 hour.n.03 car.n.02 ride.v.13,Nothing better than 14 hour car rides. 
1,0,0.426470588,0.573529412, guy.v.02 yell.v.02 nice.n.01 sawhorse.n.01 walk.v.10 binding.n.05 barn.n.02 surely.r.01 check.v.22 sawhorse.n.01,"A guy just yelled "" nice horse"" as I was walking Zoie back to the barn.... I'm sure he was just checking out my horse "
1,0,0,1, england.n.01 playing.n.02 tonight.r.01,Was England playing tonight or something?  #topbantz
