score,text
1,Just noticed Braves BJUPTON2 is having an incredible year - he's now hitting an En Fuego .210!  #Rays #BADMLBcontract
1,"Am I a THOT? If in doubt, probably yes. I mean, all single women are hoes right? "
1,"It's said that  is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!"""
1,Can't you be any louder?? 
1,Welcome to the south where we blow shit up for fun. #MERICAAAAAAA 
1,best day ever 
1,a hospital visit at midnight sounds wonderful 
1,A hybrid bursting into flames? Shocking!  
1,"Very unique and original snapchats tonight. Rain, concerts, random people at a bar, and food. Keep them coming. "
1,Great piece of pinch running by Uggla...  #Braves #leavetinytimonthebench
1,Bout to cash after this fun filled day!  #deadandgone
1,"Reviewing the world cup scores... Colombia beat Greece?! Whoa, that's a shocker.  #FifaWorldCup"
1,"lupevilla16 Yeah, cuz I'm a huge soccer fan.  Obviously.  #fsoccer"
1,"Oh, totally didn't see that coming.. "
1,Nothing better than your parents going out of town and no one wants to hangout!  #bored
1,Great call tonight AtlantaJay1 ......
1,Britni113 
1,Thanks a lot.  #anonymous #stalkthis #waytosayittomyface
1,People prank calling you is so awesome 
1,I love spending Saturday nights doing nothing!!! Hell yeah! #SoMuchFun 
1,This game is sooooo much fun 
1,"harleyquinn103 OMG does this tweet refer to me? Oh no! It does! Crap, sorry. Forgive me? "
1,So I got in a car accident today... that was fun 
1,Been the most happening trip to mumbai so far. 
1,I love Skyping with gabewist97 while he paints an anchor on his wall. 
1,MindFuck_ sure coming from 1-0 to 1-1 then 2-1 within bout 90 sec aint nothing 
1,Tul is unreal......  lol
1,heyyitskaz 
1,Wow Cote D'Ivoire players are great actors  such bad sportsmanship.....
1,Playing a multiplayer game on our separate phones #bonding #family 
1,MyGirlKelz: #TweetsToPissSomeoneOff Just_Collin Chris Paul is the best point guard in the league but not a leader 
1,Woah! Where did all this soccer stuff come from? Lol. You'd think it was the World Cup or smth. ;)  #InCaseUCouldntTell
1,I'm glad everyone knows how to spell AMERICA....    emphasis on the A.
1,Good outing Frieri!! 
1,Fact #29 Its infuriates me to know that I am wrong when I know that I am right #casualty Tweet 
1,I have such great friends it's insane.  #whatajoke
1,Hey everyone come join the fuckn party at walmart 
1,The best part of going to college is hearing everyone's opinions of what you should major in and what career to pursue. 
1,caitfurm 
1,It's okay.. Its not like I'm ever going to graduate in high school again. 
1,BayareaSoxfan sarcasm is not really something that comes through with the written word unless you use 
1,"Thanks Frieri! We love how you give up games/wins in the 9th inning, you're the best. #Halos "
1,good job Angels  #pissed
1,BREAKING NEWS: Harper tripped over something!  #idothatallthetime
1,"Oh look, a soccer player being subbed out because of leg cramps! Who does that?!? Why can't he play through it? He's weak! "
1,"Yep, the newest simulcast episode of #OnePiece has SO not turned into an episode of DBZ. "
1,"DodgerFanWeekly Geez...I'll add "" next time so I don't get in trouble for the obvious"
1,WOW I feel your interest... 
1,EricWinter1 Roselyn_Sanchez well that isn't an attractive family at all ...  :)
1,I dont get it... How is AvrilLavigne Hello Kitty rasist agian? 
1, 
1,#hatersgunnahate
1,#lovethis 
1,#LittleBlackStars 
1,Meow!
1,So many players going down with cramps so far. Yeah..qatar is a real good idea in 2022. 
1,Two reviews in the top of the 1st of the #Rangers - Mariners game.  I love this #mlb replay system. 
1,It's important not to lose your first game in the world cup. BLOODY BRILLIANT INSIGHT.  #theyalltalkthesameoldcrap
1,"Frieri is such a stud, I can't even stand it. "
1,libertygirlNH Whoa! I did NOT see that coming. 
1,You got into a fight and knocked this guy out? You must be a fucking badass 
1,It's good to know that if there was an actual emergency they would be available. 
1,Hill Billy Parties are great..#hillbilly 
1,12 hour drive ahead of me. Funnnnn.. 
1,College World Series doesn't look fun 
1,Great.  Only talking to me out if pity?  No of course I won't take it personal...  
1,To2aWallahy mmmmm i can clearly understand ya !   #lol
1,Let's not all text me at once people...
1,mcconnelllkelly couldn't tell! 
1,"Hmmm, stay in and watch Netflix or go out and blow money... Gonna have to think about this one hard "
1,"Saturday night, &amp; I made it to 10pm. I should go purchase a crop top with the phrase ""party like a rock star"" on it.  #motherhood"
1,VChumbarskiy 
1,This summer has been fun so far. 
1,zunigaa96 
1,"Oh today's Father's day, I should greet my dad on social media even though he doesn't have an account. #genius "
1,PickedbyGrace Its awesome!  I hate having days off and relaxing...  #resellerlife #entrepreneurproblems
1,I love going out to eat dinner at ten o'clock. 
1,Woogsworld right well I can see why this is so much more offensive than a page supporting a misogynistic shooting 
1,Wooo hoo 
1,Strep throat in the middle of summer. #Awesome 
1,Frankiee44 England is amazing bro. Italy was lucky to win. Henderson is way better then Pirlo. You guys are different level. 
1,Eating lunch late...
1,My last day is going so well...
1,vicesandviagra whatever you say 
1,I feel quite loved.... 
1,What a night #LotsOfFriends 
1,ShredMitch nice math 
1,"Gattis just homered, better rest him tomorrow. #Braves "
1,So tired. Even the terrific punditry of Lee Dixon can't keep me awake #asianeyes #leedixon 
1,I do so enjoy hearing about the plight of the Bacardi family. 
1,i love being ignored yes the feels  #okaythen
1,I hate it when people misspell easy words. I think that their doing it just two annoy me. 
1,rmiriam I'm sure it helps the players immensely. 
1,Having a fantastic time 
1,"If nothing else, a blog would be one more way I could force my cynical, sexist, closed mindedness upon the world #BackedByResearch "
1,"matthew_achey meh, shock top isn't very crafty...except their honey bourbon barrel wheat "
1,"I love girls who reject you for not being the hottest guy on the planet, and for not being a bad boy "
1,DrewsPens pensreport 
1,michaelebeid neither did I. 
1,Need_UJAT surprise surprise  #eyeroll
1,Holy smokes that was fun!  mikaylaRentsch2
1,Wala na bang mas iinit pa? Can somebody turn on the heater please? 
1,So glad to know you care... #not 
1,I'm going to miss the freshman who wouldn't sit down at lunch. 
1,"Hey, SpiritAirlines. Livin the professionalism on your flight NK240 out of ft. lauderdale.  #TheWorst"
1,"hurt my back, OITNB finished, exam tomorrow, life couldn't get any better.... "
1,ElsonPhil I thought he only pitched in Omaha!  #GoodThingMikePatrickIsNotCallingTheGame
1,"I just love having fevers, they are my fave!!!!  #ihateyou #whynow #ugh"
1,I seriously love being invited places. Everyone don't invite me all at once!!! 
1,Girls gossiping loudly behind me while I watch house of cards on the couch is exactly what I wanted tonight. Damn I'm a lucky man. 
1,New York is off to an absolutely terrific start  #whatelsecouldgowrong?
1,Is yaya toure playing ? 
1,#IVO vs #JAP
1,phil_hellmuth You deserve it!  #Obviously
1,A migraine to top it off! 
1,jawedup How respectful of you!   jrsalzman SalenaZitoTrib BarackObama
1,I'm missing Gloriana so Queen can be mean to me!
1,#responsibility
1,#nevergofortheopeningacts
1,#stickingtomybudget
1,#friendoftheyear
1,A Japanese player named Honda scored.... I never would've guessed he was Japanese.. 
1,Lovely to see some shifting their arguments to whether or not Nintendo can make successful new IP now that they announced new ones 
1,TRH1292 I think marrying your brother-in-law is a completely rational way to deal with the death of your husband. 
1,si_clegg CarlosMarsden Matt_Chambers_  I don't see that in your tweets si maybe it's me or maybe it's the way you write them
1,pauloaafc CarlosMarsden Matt_Chambers_ yes because I'm really expecting you to be building the stand at 2am! Night Paul! 
1,Bidenshairplugs they will help they always do.  THEY DON'T LOVE THEM!
1,"It's said that  is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!"""
1,I'm so bummed that I'm missing Ricky Scaggs in concert!! 
1,I just love it when there are crying babies on the bus!!  #commutingproblems
1,Bout to get turnt tonight 
1,Nothing better than 14 hour car rides. 
1,"A guy just yelled "" nice horse"" as I was walking Zoie back to the barn.... I'm sure he was just checking out my horse "
1,Was England playing tonight or something?  #topbantz
1,Don't forget your pitt bull when you come to bushwhackers 
1,"Ladbrokes love the way ye go 7/4 both teams and then 13/8 at kickoff, serious respect for the customer "
1,Double-hit migraines are my favorite! 
1,"Let me know the next time we fight, cause I can never tell. #relationshipproblems "
1,Day one is still young and my summer of frugal spending is off to a rousing success 
1,Just great. I LOVE feeling this way 
1,Love Saturday nights with no plans... 
1,So glad the World Cup is starting to distract everyone from the Rangers failure to secure the Stanley Cup  #NJDevilsFan #hatesoccer
1,People magazine suggests a $65 candle because everyone has money for that shit. 
1,"So on Amazon, Knack is listed as $30 for a physical version new, and $60 for an online code. Well, that's sure intelligent pricing. "
1,I come home in time from work to watch the Ivory Coast vs japan game... Cause that's the game I wanted to watch today 
1,"Rooney played well tonight, didn't he? "
1,"Is it just me, or is Hamlet a little on the crazy side?  #sillyme"
1,BasedMichael DustinLaundry ever heard of 
1,Coming home to find that the fire alarm has been going off for several hours give me faith that i would be saved if it was real! 
1,My phone screen is destroyed...My life is on that device!!! #luckyme  #Ineedaphone
1,"Now there's the customer service I'm used to: gate agent makes eye contact, turns around and closes boarding door. "
1,yeah cliche angel digimon-like &gt; beasts based on Greek &amp; Egypt (respectively) mythology digimon 
1,Impressive article by Rio on tonights match in the Daily Mail. Done in the 15 mins since he left the commentary box.  #lufc.
1,"Woo, watch out... He'll rob a car as he's that out of control drunk... ."
1,I LOOOVE it when u open shit and DONT answer!
1, #Angering
1,"Santorini again eh? No thanks Greece, I think I'll go on vacation to Columbia instead.  #WorldCup2014"
1,Saturdays are best spent on the couch struggling to find the cure to a migraine 
1,MacMcCannTX the officers got placed on leave so it's all good. Keeping the streets safe! 
1,LogoMotives that clearly says ESG. No resemblance at all.  #theft
1,Visions4Liberty Stop having a better sand castle than me! #Socialism 
1,Wait. Pirlo completed 95% of his passes? What the heck is wrong with him? Missing five percent of his passes.  #DamnPirloIsGood
1, lol
1,BoogBloss be safe bruh even if you did stiff arm me on our song lmao.
1,Two days off between NBA Finals games? Lebron's cramps must have been pretty serious 
1,Thanks to SoVeryBritish I now can't tell if the British cashier at the store is being nice or politely telling me off!  LOL
1,SerenaMidori pallydan7779 #socialjusticewarrior  # is wayne brady gonna have to cut a bitch!?
1,I'm really glad it looks like I got beat up! #not  #bruiseseverywhere
1,ReplicaLuke You have some friendly and accepting co-workers there. 
1,WayneBogda ChristieC733 rayjenardon SamAlbayat JustKate038 If its main stream media it must be true. .
1,England and the BlueJays lost today so that's just great yay 
1,MarkFindlay None as good as the Scottish League Cup Final though... 
1,#IvoryCoastvsJapan next... Can't wait... 
1,TaylorTwellman england 
1,"Oh what does Alan shearer know, what has he ever achieved!? "
1,Obvious ways to my heart; being an ass 
1,"BBCSport england don't use him, Simple as that, but I keep forgetting he's a man utd player so he must play. #Overrated  #England"
1,"Hey, it's ok ear infection, I totally love feeling the illusion of getting ear-fucked prison style "
1,England lose and a possible fractured arm #brilliantday 
1,Plenty of positives. But Glen Johnson you are particularly shite! another cracking game for #Rooney in an #England shirt too! 
1,World Cup coverage needs more side line reporters constantly asking the coaches how they think it's going... 
1,"Woman, thou screws art loosed! -My Dad  #FathersDay"
1,CoffeeGirlSmile yes and Croydon fares so well in riotous situations  please keep safe.
1,Great.. #Greece getting smashed and #Italy winning means I'll be hearing it all week from my husband. Awesome.  #FIFA2014
1,Hey Rio... if it ain't white that ain't right! #KerwinWhite #NotRacist 
1,"Sad how people aspire to get ""fucked up"" all the time.  #DontWannaRememberTonight #2Turnt "
1,"J0rdan_sulliv4n: Lia_awtakulSA: ""J0rdan_sulliv4n: Nice one Sterling really fab"""" #welldone"" tht cld b it aswel,big fan'England?"
1,Nothing better than finding out you passed your geometry EOC by 3 points. 
1,"Lia_awtakulSA: J0rdan_sulliv4n: Nice one Sterling really fab"""" #welldone"
1,TheSunFootball Thats the most positive way to think about the loss. Don't worry #ENG you can still win #WorldCup...  #sorrynotsorry
1,It's amazing how no one tells me absolutely ANYTHING until it happens.. #feelsgreat 
1,Cheers to moving and organizing by myself.... off to a great first night  #fuckingpissed
1,J0rdan_sulliv4n: Nice one Sterling really fab
1,Packing is always fun.. 
1,Watched Pitch Perfect.  Reminded me of the acapella group I was in.  the Lit-tones.  We sang songs about great literature.  
1," ""ojmason: Positively surprised by #eng performance tonight."""
1,BritniMcDonald You probably just got her fired. What a nice gesture! 
1,Do meatballs have beef and pork in them? Nope the meatballs are veggie  I can't make this shit up
1,"This match was in the 80s &amp; humid &amp; both teams are spent. Oh, yeah, Qatar in 4 yrs is going to be great with its 110 degrees. "
1,So glad our secret of having a problem down the left didn't get exposed!!! 
1,ITS OKAY ENGLAND! #WorldCup #thanksfordoingyourjobRooney  #WorldCup2014 #FIFA2014 Next time its yours!!
1,"Pretty average day of soccer today, then. Nothing too special.  #WorldCup"
1,"Well played, #England. "
1,We're totally going to win the World Cup this year. 
1,"Well then, well done England, well done #ENGvsITA "
1,Absolutely gutted by that loss  #banter #lol
1,"Hey ho, we still have '66  #WorldCup2014 #ComeOnEngland #EnglandvsItaly"
1,I love how this day just continues to improve. 
1,Nice footwork by Hart. 
1,Poor England. Always sucking in international competitions. 
1,Are there any teams without a Brazilian ?  
1,izenmelik i feel so precious rn 
1,why the fuck do i have to be English when its the world cup. Would rather be an Iraqi 
1,Roy Hodgson is a tactical genius 
1,UberFacts: 3 days ago someone used a drone to spy on France's World Cup team while they were practicing. Oh I wonder who 
1,Another great strike for #ENG 
1,Rooney has been outstanding. 
1,Glad to see Rooney is justifying Roy's decision to include him... 
1,Rooney is truly a class player boy..probably the best game I've seen from him... #pleasenote
1,Nice to see the vanishing spray keeping the Italian wall the correct distance back. 
1,AlexiLalas I think Jason Whitlock is super upset with the cramps...which real athletes do not get. 
1,The_GreenBean itvfootball agreed. #banter 
1,My dad just told me he was emptying the dishwasher so I could fill it #SoThoughtful #ThanksDad 
1,Ugh grocery shopping... need a personal shopper #richlife
1,_ramishaa KatYearley WilmotRobert lmao sort it out gorj 
1,Great crosses. 
1,England can cross the ball tho hahaha 
1,Mcbronyfan oh really.  don't but into fights that don't involve you. Especially if you're sticking up for the wrong person.
1,Pkm89. Yeah forgot my   hashtag. Oh well.
1,I really love to sit and wait it's my favorite pastime 
1,The best cross ever by Rooney ! Hahaha #Troll 
1,Johnson is amazing 
1,"I wish my love letter emails to my ex-wife's sister could have been ""lost"" in a computer crash before the divorce "
1,Oh Great.....#Sturridge off instead of Rooney!  #WorldCup2014
1,How dare people question Rooney over the last few weeks. Totally proved his worth tonight.... 
1,Thanks Dad for changing the channel to golf I totally would rather watch golf than the match between England + Italy  #screwyou
1,Someone just proposed outside of the JCrew outlet... Never a dull moment here at work.. #romantic 
1,sammillus  tweet!
1,Burning your fingers. Always a great thing. 
1,I think it's safe to say #Hodgson did a wonderful job by leaving Carrick behind. Just lovely  #ENGvsITA
1,WC2014Babes Really!! Because she's Italian? 
1,Mcbronyfan DonquixoteDoffy wow. I'm so afraid. 
1,Some things are soooo unbelievably funny... #humor #mixing 
1,"'DRIVE CAREFULLY, DEAR!' #FawltyTowers #BasilFawlty  "
1, at its #best.
1,Long Road trips are just so much fun. 
1,I love how the Twatty commentators are behind England 
1,"I want Lambert to come on, instead we get Jack fucking Wilshere. That's just what we need. "
1,I love visits by my #ocular #migraines 
1,"STFU, Chris Brown, there ain't no such thing as a loyal hoe."
1,#loyal #chrisbrown 
1,thanks world cup for making work so boring (also thanks for ruining ppls lives in Brazil) luv u. 
1,Oh yay Wilshire 
1,BPUnion your humanitarianism is a true testament to the American spirit..  #BPunion #shutdowntheBPunion
1,VanguardVivian oh yeah because thinking something is funny is SO GODDAM RUDE AMIRITE GUYS 
1,"sadly I couldn't find one that said ""you're an asshole thabks for being there """
1,"If you are Sterling, you tell yourself this is the world cup, and I am not going to cramp now "
1,I think I've been a bit hard on England tonight *sniggers* &amp; 
1,Yeah no it's fair the Reds announcers get to call this national game. No biased here. #Brewers 
1,A lotta love for Rooney on here 
1,Nicholas Cage can portray such a wide range of characters! How does he do it?!?! 
1,Whadaya mean Beckhams not playing. I'm sure his match ban thingy must've lapsed by now... 
1,Great to see B.J. in there again tonight...
1,#braves 
1,"hannahwitton bigots and sexists, the world isn't full of enough of them it would seem. "
1,"TSNBobMcKenzie Not sure if you got enough responses yet Bob, could it have been 2 years ago at the Euro Championship maybe?? "
1,smegsxo Oh yeah with all that sexism! Would be great! 
1,Wool1878 is Henderson playing? 
1,chadders_5 
1,dgironda no...really? Not like I played soccer in highschool or anything... 
1,.2Biblez makes perfect sense 
1,I've always thought the six run lead the hardest to maintain 
1,Obvious penalty not given. Thanks ref! 
1,Wow that could have easily been a goal. I obviously would have gotten it in. #WorldCup2014 
1,DUCKmagstoke  goes forward well tho   #timetosteoitup !!!!!!!
1,I guess Gitmo is actually war headquarters instead of a prison camp  2Biblez CIA 09daytona A5H0KA fredwimpy civilcynic
1,Love how you're a smart ass. 
1,Love spending my birthday alone. 
1,TheRealAC3 
1,Can't believe how charismatic Phil Neville is!!! 
1,Love football me... Couldn't think of anything better to do with my time! 
1,Shoutout to the calendar on iPhones reminding me that today is Flag Day. #clutch 
1,It's going well then. 
1,Im also tweeting about world cup. Im a part of something #yay #lol 
1,"Oh, now *there's* a surprise... "
1,hzablo The way he fotballed the ball was very sports of him #football #sports #WorldCup #pisstake 
1,ThisIsHowWeeDo you really have manners don't you? 
1,Boy... 
1,"For a second there, i thought drama wasn't a trend. Glad i was wrong &lt;3"
1,"AnxiousMuslimah you used the word ""ass""!? How vulgar! what abt your future!? "
1,Both of you crack me up . 
1,dad expressing his love for Gerrard 
1,Cazb68 haha!! never?!  
1,kaylakilbridexx yeah but he shit tho ;) 
1,NichStarling mrjakehumphrey Have I????? Really???? I've always wanted on of them! 
1,Calum5SOS Luke5SOS awkward moment when you're in his band 
1,"RumorBreak 2 cups in 3 years, with no sign of slowing down! GET ME OUT OF HERE NOW!!! #doubtful "
1,Phil Neville; a genuine 'hail fellow well met' style of commentary!   ZZZzzzz.......
1,thejalexkelly because they love to use homegrown talent 
1,leafsman Obviously.... 
1,Rachel_murray56 it's just goal after goal  
1,"As a woman, I never leave the house. Unless of course, I'm finished all the cleaning and have permission to do so.  #housetrained"
1,SarcasmWinnipeg why do soccer fans give hockey such a hard time? 
1,The_Road_Guy iiiiiit's noooooot?!?!? 
1,bstrassburg thats impossible. Its an apple product. They make the best product ever. 
1,This bullpen rocks! 
1,Sounds like people are loving Phil Neville's commentary  #WorldCup2014 #EnglandvsItaly
1,ThetimeheroLink oh wow your eyes are red you must be really strong  -I pick you up and bite off your head-
1,NergaardKai not even a single. Lol  #yaaaaawn
1,Hey ObinnaEboh Your time is coming.. #NGA looked great against #USA.. 
1,"'O dear, he's offside.' ?"
1,Well I dont think England just scored  #WorldCup
1,"If Phil Neville loses his job at United he should definitely join the samaritans, guaranteed to lighten the darkest of moods. "
1,Dear rodstewart fans at stoke tonight..u did awesome in giving stokies a good name...nice 1 for fighting through most of the show 
1,Yes Palotta on the field and Bonucci on the bench looks like a fantastic choice  # prandelli
1,PawPawLarry Yup. It's a great success nationwide. 
1,I forgot how great goshen stampede is 
1,Is there a country concert in Alabama today??? 
1,Jordan wouldn't have needed to dummy it. He would've scored himself. Pirlo is too passive for me. 
1,Gotta love the invisible cloak that's makes the car you are driving magically disappear! 
1,Such a suprise 
1,JailBirdN8 So let's ban Mother's Day too. It's unfair to single dads. .
1," removed, this is factual RT James_L_Thomas: Good old #Eng. Most boring match so far. #shock"
1,Good old #Eng. Most boring match do far. #shock .
1,ZerkaaHD 
1,Shout out to ESPNU for the outstanding field event coverage... 
1,"Love the World Cup, I understand all football and have full knowledge of the offside "
1,Phil Neville's voice is as interesting as Wayne Rooney on a football pitch!  #boreoff #EnglandvsItaly
1,There's a lot of love for Phil Neville of my time line 
1,Don't know if I can cope with Phil Neville's excitement. The vibrant tone of his commentating is at dangerous levels!  #bbcworldcup
1,Omg I totally understand why you couldn't help me  
1,I'm so glad that an Advance Auto Parts is coming to Dillsburg #saidnooneever 
1,Yea you guys were right. Polanco wouldn't of helped us out this year.. 
1,Thank you #orioles for another exciting inning. 
1,"Arsenal_KY Rooney, invisible... in a match without Premier League officials? Surely, you jest. "
1,sierraniii  ur not
1,It's always nice when I go &amp; visit my parents 
1,"Burkes, overalls, glasses, disheveled hair. "
1,"Here I am boys, single and ready to mingle. "
1, #Stylin
1,"Wow Phil Neville's commentary is invigorating, passionate and unmissable "
1,So nice to see my parents be so happy for my brother's relationship...
1,so happy my family is so loving #hah 
1,"Someone give Phil Neville a red bull or something, he sounds so excited  #ENG #WorldCup2014"
1,iNoahStraub #yolo #idgaf #livingthelife #fav #young #wild #and #free #youngwildAndfree  #hopeyouseeimjoking #sorrynotsorry #hashtag
1,"threejacker Wow. Maryland brought quite a crowd with them.  Ohio traveled better, but barely."
1,Well done Johnson.......... 
1,Just seen Westie at #1 in HRN. Now all I need is an England victory to totally make my day.  #ABE
1,"joeandevan Naw, didn't u hear? We're going to win 90 games. #MetsFans  is good for the pain. Next up, the Genius that is Alderson."
1,And finally we're talking and you ask: are you mad? Noooooo why do you think that? 
1,iamCharlieBatt I mean the goal line technology at this World Cup is amazing have you not seen it!? #not 
1,Terrysynch what #openingceremony?  #roflol... gotta make up for it somehow....
1,"So glad that my governor, Rick Scott, supports my right to choose whether or not I get an abortion.  #IHateFlorida"
1,Why are all my 'favourite' people at the pub the night I get called into work  #TheyreAllCunts
1,Lol what a great turn out. Glad everyone who said they would come came to my party. #LOL 
1,Anyone got an opinion about the football? 
1,rustyrockets: Let's not get too excited but Sterling is the new Maradona. 
1,JacobWhitesides omg I'm so happy because I can't go to meet jacob ()...
1,Fucking Phil Neville. Calm down son 
1,Stevie G showing passion while signing the national anthem 
1,The govt. takes my money and continues getting the country into debt. #cool 
1,Great. Now theyre singing Que Sera. Almost like theyre expecting failure. #WorldCup2014   #WhatATreat 
1,"i always end up saying something that could change everything, haha go  ..."
1,I'd love to see Joe Hart having a great game tonight............
1,Gerard sure looks enthusiastic. .
1,The players really looked like they meant that! #nationalanthem 
1,Isn't it awesome when you meet your soulmate and it's in another country? 
1,So overjoyed to be walking in the June Dairy Days parade 
1,In July I will start channeling Christopher Hitchens. His spirit assures me he still has much to say. #atheist #blasphemy 
1,If you could turn the volume up louder that would be great thanks...  #soloud #myearsareburning #tooloud
1,I would call Heaney up this very minute to stop the bleeding in this game. 
1,"Today it took me nearly two hours to get home from work. Cheers Stagecoach for your sterling service, clearly appreciated ."
1,Oh good another interview with Steven Gerrard cos I haven't heard what he has to say recently......... 
1,The fact that my entire Instagram notification screen is AmberKaska liking my photos #cute  #implied
1,Sitting here eating a spaghetti dinner by myself. #loveit 
1,You know cheese is real when you put it in the microwave for 1 minute and it doesn't melt. 
1,Real cool. Everyone here is real cool. 
1,Celeste_PIM not sure if  but :D
1,All these April Fool messages are so hilarious and original.      
1,All these April Fool messages are so hilarious and original.      
1,All these April Fool messages are so hilarious and original.      
1,Kartie yup that's def me  #sorrynotsorry #hashtag #alsohashtag
1,Sid_Seixeiro just as highly rated as a Leafs-Habs Sat night hockey game I bet 
1,"miconm SianGriffiths6 thesundaytimes it's certainly what gave me my British Values, studying the Magna Carta in infants. "
1,sgaut can you imagine how ppl are needed to 'cure' 10% of the population? THERE are your jobs pal 
1,Looking for another Glen Johnson masterclass tonight #standard  #LFC
1,Can you believe Costa Rica beat Uruguay?
1,#whocares
1,#soccerisnotasport
1,This house is so wonderful.  
1,80's computer special effects were just the best  #TOTP2
1,"serial54 colmorrisdavis target momsdemand Time to buy a rifle, I guess "
1,Things I love: waiting on someone to pick me up and them being an hour late. After changing plans 5 times. 
1,I honestly love siting home on a Saturday  #ihavenofriends
1,"Back in Nassau, joy of all joys.  #shiplife"
1,"bbuk bbbots #bbmark getting #BBTamara's eviction right, what are the chances? 1 in 3!  #BBPowerTrip"
1,Don't you just love being locked out of your house? It's awesome #gottapee #lockedout #house #sucks 
1,"Inserernomici So what do you want me to do? Go back to being some plain Jane, boring, blonde white girl with no personality? "
1,JamesTylerESPN ?
1,nbhap hmm that's music related 
1,Hilary_Knight the ref needs to rest his eyes so he can get every call 100% correct!  #asalways 
1,"Wow, Caroline Forbes sure has trouble attracting guys..."
1,Thank you for nothing you useless reptile. #HowToTrainYourDragon #toothless #hiccup 
1,"Dear Friendlys, thanks a ton for adding prosciutto to your Mac &amp; Cheese sauce and eliminating another option for us vegetarians. "
1,Kristian is always sooo excited to talk to me 
1,"izeze1967 backatone000 Obama doesn't like , does he? Has Secret Service looking for it on social media."
1,"If this isn't the best feeling ever, then I don't know what is. "
1,How dare he get his own plate. So fucking selfish. #bbuk 
1,"Oh, are England playing tonight?? I didn't realise as there's been no mention of it on television... "
1,"SquirrelBalls2 Wait, you don't have a link? I thought purpose of the Internet age was having everything given to me...  #youknowit"
1,francescaacox apparently people have been mentioning it... Not sure if people will talk about it though  hahaaha
1,I just pulled off 3 ticks from my hip yay!  #girlscampprobs
1,"I just love that when a celebrity or a youtuber you like does a follow spree everyone gets followed but you. -.-"" #seriously "
1,Looking forward to this 7 hour foodrun shift. 
